Date,Open,High,Low,Close,Volume
2013-10-24,514.01,518.34,510.49,509.46,4199700
2013-10-25,512.49,512.49,503.48,504.32,4076100
2013-10-28,505.7,509.8,504.6,504.22,2326000
2013-10-29,507.65,516.53,504.86,514.77,3222000
2013-10-30,516.78,516.82,511.08,511.88,2658000
2013-10-31,512.54,518.82,510.07,511.96,3292200
2013-11-01,513.97,516.07,510.64,510.2,2576100
2013-11-04,513.82,514.26,509.11,509.74,2286000
2013-11-05,508.27,513.9,506.81,507.46,2371500
2013-11-06,510.89,511.58,505.79,508.08,1832600
2013-11-07,509.4,510.05,501.94,500.72,3371700
2013-11-08,502.49,507.35,502.37,504.73,2591100
2013-11-11,502.87,506.07,502.12,502.03,2233500
2013-11-12,501.97,506.88,500.62,502.62,2445200
2013-11-13,501.5,514.5,501.37,512.9,3170500
2013-11-14,515.03,517.93,513.25,514.27,2342100
2013-11-15,515.5,517.06,513.23,513.44,2562100
2013-11-18,515.94,522.41,512.7,512.44,3532500
2013-11-19,513.93,515.44,509.61,509.28,2271600
2013-11-20,513.05,514.75,508.27,507.86,1934500
2013-11-21,511.58,517.22,511.08,513.69,2191700
2013-11-22,514.78,516.15,512.69,512.61,2517700
2013-11-25,516.64,524.63,515.58,519.58,3238000
2013-11-26,522.34,528.77,519.52,525.79,4589600
2013-11-27,529.03,532.01,528.02,528.12,2255500
2013-11-29,529.1,531.32,527.75,526.37,2394400
2013-12-02,529.77,531.18,523.42,523.83,2756600
2013-12-03,523.51,529.73,522.55,523.23,3364700
2013-12-04,523.72,530.0,523.04,525.67,2392000
2013-12-05,526.63,527.85,523.58,525.26,2275800
2013-12-06,532.9,533.0,528.06,531.48,2868200
2013-12-09,533.5,539.13,532.02,535.59,2976200
2013-12-10,536.07,544.12,535.82,538.82,3721600
2013-12-11,541.67,543.62,535.58,535.16,3436400
2013-12-12,537.77,539.45,532.5,531.52,3204800
2013-12-13,535.69,536.14,526.97,526.97,4340900
2013-12-16,530.01,535.34,529.02,533.03,3216000
2013-12-17,534.41,538.36,532.2,531.47,3082800
2013-12-18,533.92,540.45,527.54,538.87,4437100
2013-12-19,538.37,543.96,537.53,539.6,3343800
2013-12-20,542.12,548.53,541.97,546.76,6547600
2013-12-23,551.85,555.82,550.5,553.95,3456000
2013-12-24,555.4,555.54,551.98,552.33,1473800
2013-12-26,554.92,557.41,552.27,555.12,2685500
2013-12-27,557.91,558.05,554.39,555.58,3151100
2013-12-30,558.08,558.16,552.44,551.15,2481300
2013-12-31,554.04,558.41,551.06,556.73,2725900
2014-01-02,555.65,556.79,552.06,552.96,3656400
2014-01-03,555.42,556.38,550.4,548.92,3345800
2014-01-06,554.43,557.34,551.15,555.05,3551800
2014-01-07,560.4,567.72,558.49,565.75,5124300
2014-01-08,570.86,571.52,564.53,566.93,4501700
2014-01-09,569.59,569.97,560.68,561.47,4184500
2014-01-10,567.41,567.41,559.03,561.44,4302900
2014-01-13,561.13,571.31,556.5,557.87,4855800
2014-01-14,566.85,573.35,561.94,570.98,4983700
2014-01-15,574.34,575.34,569.76,570.6,3915000
2014-01-16,572.4,576.8,571.86,574.37,3380300
2014-01-17,576.27,578.15,569.96,571.55,5422800
2014-01-21,578.3,579.83,573.5,578.09,3974500
2014-01-22,581.13,581.76,577.27,578.74,3154500
2014-01-23,577.83,579.07,575.03,576.3,3912700
2014-01-24,573.36,574.62,559.4,558.29,7814000
2014-01-27,560.95,561.15,539.11,547.06,8739800
2014-01-28,553.09,560.77,552.9,557.88,4436900
2014-01-29,557.47,558.78,547.66,549.88,4777500
2014-01-30,570.36,574.09,561.52,564.02,10220800
2014-01-31,583.49,591.05,573.42,586.67,11174200
2014-02-03,587.4,588.65,563.89,563.05,9172400
2014-02-04,566.87,575.34,566.38,565.4,5644800
2014-02-05,569.56,573.24,561.9,567.91,4806800
2014-02-06,573.42,577.91,571.63,576.23,3907600
2014-02-07,581.63,586.75,578.11,584.91,5292000
2014-02-10,583.71,588.99,582.33,582.68,3904800
2014-02-11,587.88,593.71,583.92,591.25,4116900
2014-02-12,592.28,592.78,588.48,589.51,3461800
2014-02-13,588.17,597.71,587.63,596.07,3686400
2014-02-14,595.57,599.95,594.17,597.52,4389700
2014-02-18,598.46,604.17,597.76,601.53,4233500
